voltage,current,sound,gas,temp,hum,heading,tahmin,durum
5.0,13.514,1018.0,1023.0,22.7,55.0,221.15786101262825,1,NORMAL
5.0,13.514,1023.0,1023.0,23.3,53.0,299.2215582158601,1,NORMAL
5.0,13.514,1023.0,1023.0,23.3,54.0,237.7243556854224,1,NORMAL
5.0,13.514,1012.0,1023.0,24.3,54.0,236.54049774660933,1,NORMAL
5.0,13.514,1015.0,1023.0,22.7,60.0,226.2444317030953,1,NORMAL
5.0,13.514,1019.0,1023.0,23.9,54.0,228.91824886406735,1,NORMAL
5.0,13.514,1014.0,1023.0,23.9,54.0,228.2397002961021,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,59.0,230.1944289077348,1,NORMAL
5.0,13.514,1015.0,1023.0,23.4,51.0,224.1533259761385,1,NORMAL
5.0,13.514,1023.0,1023.0,22.4,61.0,229.55939301184125,1,NORMAL
5.0,13.514,1021.0,1023.0,24.0,53.0,228.14682292603464,1,NORMAL
5.0,13.514,1016.0,1023.0,23.8,55.0,289.78764555829247,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,59.0,229.40525943635717,1,NORMAL
5.0,13.514,1006.0,1023.0,23.9,53.0,229.2870178170976,1,NORMAL
5.0,13.514,1011.0,1023.0,23.4,54.0,240.65873563712995,1,NORMAL
5.0,13.514,1011.0,1023.0,22.6,60.0,228.643128212206,1,NORMAL
5.0,13.514,1023.0,1023.0,22.1,62.0,228.7415354524308,1,NORMAL
5.0,13.514,1023.0,1023.0,22.6,59.0,230.00987505855443,1,NORMAL
5.0,13.514,1015.0,1023.0,24.1,53.0,228.45549063590835,1,NORMAL
5.0,13.514,1023.0,1023.0,22.2,62.0,228.42655787663907,1,NORMAL
5.0,13.514,1017.0,1023.0,24.0,67.0,216.9297678220819,-1,ANOMALI
5.0,13.514,1023.0,1023.0,22.2,61.0,228.0657938321916,1,NORMAL
5.0,13.514,1023.0,1023.0,22.8,58.0,229.6000956662633,1,NORMAL
5.0,13.514,1020.0,1023.0,24.1,53.0,228.14682292603464,1,NORMAL
5.0,13.514,1017.0,1023.0,23.1,54.0,224.04722960306628,1,NORMAL
5.0,13.514,1023.0,1023.0,22.1,61.0,228.21900522700253,1,NORMAL
5.0,13.514,1012.0,1023.0,22.8,58.0,228.58949674083817,1,NORMAL
5.0,13.514,1023.0,1023.0,22.2,62.0,227.7605514955152,1,NORMAL
5.0,13.514,1013.0,1023.0,23.1,53.0,223.8933840805113,1,NORMAL
5.0,13.514,1016.0,1023.0,24.0,53.0,227.93676286477543,1,NORMAL
5.0,13.514,1021.0,1023.0,22.2,62.0,228.1164038906335,1,NORMAL
5.0,13.514,1023.0,1023.0,22.3,61.0,228.95755311412785,1,NORMAL
5.0,13.514,1012.0,1023.0,24.1,53.0,228.3264146944043,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,58.0,230.06467979534324,1,NORMAL
5.0,13.514,1023.0,1023.0,23.3,54.0,236.33126373867617,1,NORMAL
5.0,13.514,1020.0,1023.0,23.4,54.0,466.26368926431877,-1,ANOMALI
5.0,13.514,1023.0,1023.0,22.7,59.0,230.65948184016247,1,NORMAL
5.0,13.514,1023.0,1023.0,22.1,60.0,228.32464910711084,1,NORMAL
5.0,13.514,1018.0,1023.0,24.1,53.0,335.06732457321357,-1,ANOMALI
5.0,13.514,1011.0,1023.0,23.4,54.0,245.41334893326416,1,NORMAL
5.0,13.514,997.0,1023.0,24.1,53.0,229.01048467051675,1,NORMAL
5.0,13.514,1011.0,1023.0,23.0,53.0,224.13506831783133,1,NORMAL
5.0,13.514,1023.0,1023.0,23.4,54.0,241.40143606302672,1,NORMAL
5.0,13.514,1016.0,1023.0,23.5,75.12599867997967,243.26340508546045,-1,ANOMALI
5.0,13.514,1016.0,1023.0,23.3,55.0,240.85702201802823,1,NORMAL
5.0,13.514,1021.0,1023.0,23.3,53.0,280.6086727615277,1,NORMAL
5.0,13.514,1023.0,1023.0,22.6,60.0,224.42624170228348,1,NORMAL
5.0,13.514,1009.0,1023.0,24.1,51.0,224.35261761305813,1,NORMAL
5.0,13.514,1023.0,1023.0,22.4,61.0,229.02937278163455,1,NORMAL
5.0,13.514,1015.0,1023.0,23.4,54.0,241.07528535488757,1,NORMAL
5.0,13.514,1006.0,1023.0,23.0,53.0,224.25162163994383,1,NORMAL
5.0,13.514,1009.0,1023.0,23.3,53.0,279.69087558867784,1,NORMAL
5.0,13.514,822.7056079200179,1023.0,22.7,55.0,221.9116478963604,-1,ANOMALI
5.0,13.514,1023.0,1023.0,22.8,59.0,229.67037291089247,1,NORMAL
5.0,13.514,1018.0,1023.0,23.3,54.0,237.1860771423541,1,NORMAL
5.0,13.514,1023.0,1023.0,22.4,61.0,230.30281718555148,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,59.0,229.2651653844925,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,60.0,229.88322471004025,1,NORMAL
5.0,13.514,1014.0,1023.0,22.5,61.0,228.205898429876,1,NORMAL
5.0,13.514,1020.0,1023.0,22.1,60.0,228.5489903025085,1,NORMAL
5.0,13.514,1002.0,1023.0,24.2,53.0,231.4228546707205,1,NORMAL
5.0,13.514,1015.0,1023.0,24.1,54.0,227.81418176149327,1,NORMAL
5.0,13.514,1003.0,1023.0,22.6,56.0,306.5676930282059,-1,ANOMALI
5.0,13.514,1008.0,1023.0,24.3,51.0,224.56263613247927,1,NORMAL
5.0,13.514,1020.0,1023.0,23.9,54.0,227.99034497516536,1,NORMAL
5.0,13.514,1019.0,1023.0,23.5,54.0,245.6181881231045,1,NORMAL
5.0,13.514,1016.0,1023.0,23.8,56.0,290.5095200332903,1,NORMAL
